Department,Department Name,Division,Gender,Base Salary,How much pay for overtime/year?
BOA,Board of Appeals Department,Board of Appeals Division,F,78902,0
BOA,Board of Appeals Department,Board of Appeals Division,F,58481.91,0
BOA,Board of Appeals Department,Executive Director,F,144751,0
BOE,Board of Elections,Director,F,183654.18,0
BOE,Board of Elections,Polling Place Management,F,62488,0
BOE,Board of Elections,Absentee Voting,F,81285.08,0
BOE,Board of Elections,Registration Services,F,90848,0
BOE,Board of Elections,Polling Place Management,M,75538.95,0
BOE,Board of Elections,Election Judge Recruitment,F,90848,0
BOE,Board of Elections,Election Judge Recruitment,F,78902,0
BOE,Board of Elections,Election Judge Recruitment,F,78902,0
BOE,Board of Elections,Information Technology,F,115627.88,0
BOE,Board of Elections,Election Operations,F,94547.2,0
BOE,Board of Elections,Election Judge Recruitment,M,90848,395.99
BOE,Board of Elections,Polling Place Management,F,70779.09,535.97
BOE,Board of Elections,Registration Services,F,61734.94,0
BOE,Board of Elections,Registration Services,M,59654.55,357.63
BOE,Board of Elections,Absentee Voting,F,67077.33,0
BOE,Board of Elections,Registration Services,F,61734.94,0
BOE,Board of Elections,Polling Place Management,M,71852,52.2
BOE,Board of Elections,Polling Place Management,M,59660,0
BOE,Board of Elections,Absentee Voting,F,66328.14,0
BOE,Board of Elections,Information Technology,M,86091.35,0
BOE,Board of Elections,Registration Services,F,61734.94,0
BOE,Board of Elections,Registration Services,F,37506,0
BOE,Board of Elections,Voter Services,F,37506,49.6
BOE,Board of Elections,Director's Office,F,144746.29,0
BOE,Board of Elections,Information Technology,F,81006.11,0
BOE,Board of Elections,Registration Services,F,50534.89,0
BOE,Board of Elections,Information Technology,F,73918.05,938.42
BOE,Board of Elections,Voter Services,F,90417.59,0
BOE,Board of Elections,Polling Place Management,M,85194.99,0
BOE,Board of Elections,Director's Office,F,76390.98,0
CAT,County Attorney's Office,Administration,F,90596.75,0
CAT,County Attorney's Office,Support Services,F,98208.99,0
CAT,County Attorney's Office,Insurance Defense Litigation,F,150527,0
CAT,County Attorney's Office,Insurance Defense Litigation,F,150527,0
CAT,County Attorney's Office,Health and Human Services,F,147215,0
CAT,County Attorney's Office,Health and Human Services,F,150527,0
CAT,County Attorney's Office,"Zoning, Land Use and Economic Development",M,150527,0
CAT,County Attorney's Office,County Attorney,M,210143,0
CAT,County Attorney's Office,County Attorney's Office,F,144749.99,0
CAT,County Attorney's Office,Human Resources and Appeals,F,167345,0
CAT,County Attorney's Office,Government Operations,M,167345,0
CAT,County Attorney's Office,Insurance Defense Litigation,F,163663,0
CAT,County Attorney's Office,Human Resources and Appeals,M,132807.1,0
CAT,County Attorney's Office,Finance and Procurement,F,136658.32,0
CAT,County Attorney's Office,Finance and Procurement,F,150527,0
CAT,County Attorney's Office,Government Operations,F,144203.9,0
CAT,County Attorney's Office,Administration,M,187233,0
CAT,County Attorney's Office,Support Services,F,66395.05,0
CAT,County Attorney's Office,Support Services,F,71852,0
CAT,County Attorney's Office,Human Resources and Appeals,F,120898.76,0
CAT,County Attorney's Office,Finance and Procurement,F,99852,0
CAT,County Attorney's Office,Insurance Defense Litigation,M,147215,0
CAT,County Attorney's Office,Government Operations,F,119003.36,0
CAT,County Attorney's Office,Health and Human Services,F,88427.5,0
CAT,County Attorney's Office,Finance and Procurement,F,90848,0
CAT,County Attorney's Office,Finance and Procurement,F,71852,0
CAT,County Attorney's Office,Administration,F,44193.16,0
CAT,County Attorney's Office,Insurance Defense Litigation,M,150527,0
CAT,County Attorney's Office,"Zoning, Land Use and Economic Development",M,115107.17,0
CAT,County Attorney's Office,"Zoning, Land Use and Economic Development",M,167345,0
CAT,County Attorney's Office,Insurance Defense Litigation,F,135995.45,0
CAT,County Attorney's Office,Support Services,F,71852,3825.18
CAT,County Attorney's Office,Human Resources and Appeals,F,150527,0
CAT,County Attorney's Office,Insurance Defense Litigation,F,164111.25,0
CAT,County Attorney's Office,Finance and Procurement,F,71852,0
CAT,County Attorney's Office,"Zoning, Land Use and Economic Development",F,150527,0
CAT,County Attorney's Office,Support Services,F,62488,0
CAT,County Attorney's Office,Health and Human Services,M,162107.15,0
CAT,County Attorney's Office,Insurance Defense Litigation,F,150527,0
CAT,County Attorney's Office,"Zoning, Land Use and Economic Development",M,150527,0
CAT,County Attorney's Office,Finance and Procurement,F,55912.4,0
CAT,County Attorney's Office,Support Services,F,61113,0
CAT,County Attorney's Office,Human Resources and Appeals,F,137065.18,0
CAT,County Attorney's Office,Insurance Defense Litigation,F,78902,0
CAT,County Attorney's Office,Human Resources and Appeals,F,136658.32,0
CAT,County Attorney's Office,Government Operations,F,150527,0
CAT,County Attorney's Office,Insurance Defense Litigation,M,129501.98,0
CAT,County Attorney's Office,Health and Human Services,F,139264.5,0
CAT,County Attorney's Office,Finance and Procurement,M,167345,0
CAT,County Attorney's Office,Health and Human Services,F,127364.69,0
CAT,County Attorney's Office,Finance and Procurement,F,20470.01,0
CAT,County Attorney's Office,Insurance Defense Litigation,M,131601,0
CAT,County Attorney's Office,Finance and Procurement,F,59134.45,0
CAT,County Attorney's Office,Insurance Defense Litigation,F,128741.7,0
CAT,County Attorney's Office,Support Services,F,64711.87,0
CAT,County Attorney's Office,Insurance Defense Litigation,F,77973.87,371.95
CAT,County Attorney's Office,Administration,F,51158.14,0
CAT,County Attorney's Office,Insurance Defense Litigation,F,140560.09,0
CAT,County Attorney's Office,"Zoning, Land Use and Economic Development",M,113172.39,0
CAT,County Attorney's Office,Human Resources and Appeals,M,131041.71,0
CAT,County Attorney's Office,Insurance Defense Litigation,F,126596.59,0
CAT,County Attorney's Office,Health and Human Services,F,126596.59,0
CAT,County Attorney's Office,Human Resources and Appeals,M,71223.68,0
CAT,County Attorney's Office,Insurance Defense Litigation,F,74642.42,0
CAT,County Attorney's Office,Support Services,F,60218.92,0
CAT,County Attorney's Office,Finance and Procurement,F,134068.09,0
CAT,County Attorney's Office,Finance and Procurement,F,134068.09,0
CAT,County Attorney's Office,Finance and Procurement,M,107254.47,0
CAT,County Attorney's Office,Human Resources and Appeals,M,86356.26,0
CAT,County Attorney's Office,Insurance Defense Litigation,F,102548.06,0
CAT,County Attorney's Office,Health and Human Services,F,74482.27,0
CAT,County Attorney's Office,Support Services,F,52893.21,0
CAT,County Attorney's Office,Health and Human Services,F,48575.4,0
CAT,County Attorney's Office,Government Operations,F,150527,0
CAT,County Attorney's Office,Insurance Defense Litigation,F,96115,0
CAT,County Attorney's Office,Insurance Defense Litigation,F,94070,0
CAT,County Attorney's Office,Insurance Defense Litigation,M,130368.75,0
CAT,County Attorney's Office,Insurance Defense Litigation,M,94070,0
CAT,County Attorney's Office,Insurance Defense Litigation,F,94070,0
CCL,County Council,Council Central Staff,F,141566,0
CCL,County Council,Council Members and Staff,F,160000,0
CCL,County Council,Council Central Staff,F,99852,0
CCL,County Council,Council Central Staff,M,187233,0
CCL,County Council,Council Central Staff,F,110671.9,0
CCL,County Council,Council Members and Staff,F,75438.05,0
CCL,County Council,Council Members and Staff,F,141616.25,0
CCL,County Council,Council Central Staff,M,167345,0
CCL,County Council,Council Members and Staff,F,182232.46,0
CCL,County Council,Council Central Staff,F,144751,0
CCL,County Council,Council Members and Staff,F,140371.07,0
CCL,County Council,Council Central Staff,M,167345,0
CCL,County Council,Council Central Staff,F,206000,0
CCL,County Council,Council Central Staff,M,92039.75,0
CCL,County Council,Council Central Staff,F,90848,0
CCL,County Council,Council Central Staff,M,123799,0
CCL,County Council,Council Central Staff,F,35149.5,0
CCL,County Council,Council Central Staff,M,149786.4,0
CCL,County Council,Council Members and Staff,F,166461.38,0
CCL,County Council,Council Central Staff,F,75290,176.04
CCL,County Council,Council Central Staff,F,75290,176.04
CCL,County Council,Council Central Staff,F,167345,0
CCL,County Council,Council Members and Staff,F,75290,0
CCL,County Council,Council Central Staff,F,56044.97,0
CCL,County Council,Council Central Staff,F,75290,487.48
CCL,County Council,Council Members and Staff,M,140371.07,0
CCL,County Council,Council Central Staff,F,99852,0
CCL,County Council,Council Members and Staff,F,95070.04,0
CCL,County Council,Council Central Staff,F,65878.75,1123.96
CCL,County Council,Council Central Staff,F,73848.22,138.39
CCL,County Council,Council Central Staff,F,126584,0
CCL,County Council,Council Central Staff,F,167345,0
CCL,County Council,Council Central Staff,M,99852,0
CCL,County Council,Council Members and Staff,F,140460.72,0
CCL,County Council,Council Central Staff,F,126584,0
CCL,County Council,Council Central Staff,F,35149.5,0
CCL,County Council,Council Central Staff,M,62488,0
CCL,County Council,Council Central Staff,M,167345,0
CCL,County Council,Council Central Staff,M,99594.03,0
CCL,County Council,Council Central Staff,F,120703.89,0
CCL,County Council,Council Central Staff,F,93149.35,0
CCL,County Council,Council Central Staff,F,112566,0
CCL,County Council,Council Members and Staff,M,161908.9,0
CCL,County Council,Council Members and Staff,F,71163.97,0
CCL,County Council,Council Members and Staff,F,125000,0
CCL,County Council,Council Members and Staff,M,140371.07,0
CCL,County Council,Council Central Staff,M,,198.08
CCL,County Council,Council Members and Staff,M,140371.07,0
CCL,County Council,Council Members and Staff,F,127812.5,0
CCL,County Council,Council Central Staff,M,160900.71,0
CCL,County Council,Council Members and Staff,F,66352.94,0
CCL,County Council,Council Members and Staff,M,120536.93,0
CCL,County Council,Council Members and Staff,F,86498.16,0
CCL,County Council,Council Central Staff,M,96109.06,119.08
CCL,County Council,Council Central Staff,M,140075.29,0
CCL,County Council,Council Central Staff,M,126584,0
CCL,County Council,Council Members and Staff,M,79182.85,0
CCL,County Council,Council Members and Staff,M,57271.92,0
CCL,County Council,Council Members and Staff,M,140371.07,0
CCL,County Council,Council Members and Staff,M,154408.18,0
CCL,County Council,Council Members and Staff,M,120000,0
CCL,County Council,Council Members and Staff,M,67479.14,0
CCL,County Council,Council Members and Staff,F,77795.52,0
CCL,County Council,Council Members and Staff,F,31441.07,0
CCL,County Council,Council Members and Staff,M,48933.12,0
CCL,County Council,Council Members and Staff,F,56288.38,0
CCL,County Council,Council Members and Staff,M,74428.79,0
CCL,County Council,Council Central Staff,F,97525.61,0
CCL,County Council,Council Members and Staff,F,57260,0
CCL,County Council,Council Members and Staff,M,82146.01,0
CCL,County Council,Council Members and Staff,M,59258.1,0
CCL,County Council,Council Central Staff,F,113603.72,0
CCL,County Council,Council Members and Staff,M,51570.74,0
CCL,County Council,Council Members and Staff,F,61350,0
CCL,County Council,Council Members and Staff,M,41882.36,0
CCL,County Council,Council Central Staff,M,67791.75,0
CCL,County Council,Council Central Staff,F,99852,0
CCL,County Council,Council Central Staff,F,98230.25,0
CCL,County Council,Council Members and Staff,F,59831.94,0
CCL,County Council,Council Members and Staff,M,48575.4,0
CCL,County Council,Council Members and Staff,M,150000,0
CCL,County Council,Council Members and Staff,F,110000,0
CCL,County Council,Council Members and Staff,M,140371.07,0
CCL,County Council,Council Members and Staff,M,140371.07,0
CCL,County Council,Council Members and Staff,M,140371.07,0
CCL,County Council,Council Central Staff,F,146217.5,0
CCL,County Council,Council Members and Staff,F,45000,0
CCL,County Council,Council Members and Staff,M,49591.25,699.92
CCL,County Council,Council Members and Staff,M,67293.28,0
CCL,County Council,Council Members and Staff,F,79037.31,0
CCL,County Council,Council Members and Staff,F,33742.5,0
CCL,County Council,Council Members and Staff,F,56237.5,0
CCL,County Council,Council Central Staff,F,66462.5,351.63
CCL,County Council,Council Members and Staff,F,84867.5,0
CCL,County Council,Council Members and Staff,M,45000,0
CCL,County Council,Council Members and Staff,F,46012.5,0
CCL,County Council,Council Central Staff,F,127812.5,0
CCL,County Council,Council Members and Staff,M,44000,0
CCL,County Council,Council Central Staff,F,43967.5,0
CCL,County Council,Council Central Staff,F,59333.63,125.55
CCL,County Council,Council Members and Staff,F,47847.89,0
CCL,County Council,Council Central Staff,F,146217.5,0
